byline,headline,summary,time,url
,"5 Places: Five Places to Go in Bantam, Conn.",,,https://www.nytimes.com/2018/06/20/travel/five-places-to-go-in-bantam-conn.html
,"The 52 Places Traveler: Place 18 of 52: From Refugees to a Reunion, Buffalo Lives Up to Its Welcoming Reputation",,,https://www.nytimes.com/2018/06/19/travel/buffalo-ny-art-refugees-silos-wings.html
,Books of The Times: Seeing the Art World Through Personal and Political Lenses,,,https://www.nytimes.com/2018/06/20/books/review-old-in-art-school-nell-irvin-painter-whitewalling-aruna-dsouza.html
,Books of The Times: Sonnets That Reckon With Donald Trump’s America,,,https://www.nytimes.com/2018/06/19/books/review-terrance-hayes-american-sonnets-for-my-past-and-future-assassin.html
,Applied Reading: Harry Potter in Your Pocket,,,https://www.nytimes.com/2018/06/20/books/review/harry-potter-immersive-mobile-game-interactive-book.html
,Colleges and State Laws Are Clamping Down on Fraternities,,,https://www.nytimes.com/2018/06/05/education/learning/colleges-fraternities-laws.html
,"In the Age of Trump, Civics Courses Make a Comeback",,,https://www.nytimes.com/2018/06/05/education/learning/schools-civics-trump.html
,Colleges Grapple With Where — or Whether — to Draw the Line on Free Speech,,,https://www.nytimes.com/2018/06/05/education/learning/colleges-free-speech.html
,Discovering the Art of Craft,,,https://www.nytimes.com/2018/06/19/dining/tom-colicchio-craft-restaurant.html
,Restaurant Review: Legacy Records Looks for History in a Brand New Neighborhood,,,https://www.nytimes.com/2018/06/19/dining/legacy-records-review.html
,Osteria Francescana Tops World’s 50 Best Restaurants List,,,https://www.nytimes.com/2018/06/19/dining/worlds-50-best-restaurants-osteria-francescana.html
,Doctors Don’t Know Why This Teenager Can’t Keep Down Food and Drink. Can You Help?,,,https://www.nytimes.com/interactive/2018/06/20/magazine/netflix-diagnosis-series-lashay.html
,Feature: How One Conservative Think Tank Is Stocking Trump’s Government,,,https://www.nytimes.com/2018/06/20/magazine/trump-government-heritage-foundation-think-tank.html
,At War: Veterans Owe Thousands for Survivor Benefits. Why Can’t They Opt Out?,,,https://www.nytimes.com/2018/06/20/magazine/veterans-debt-survivor-benefit.html
,International Real Estate: House Hunting in … Hungary,,,https://www.nytimes.com/2018/06/20/realestate/house-hunting-budapest.html
,"What You Get: $250,000 Homes in Vermont, Virginia and New York",,,https://www.nytimes.com/2018/06/20/realestate/250000-homes-vermont-virginia-new-york-.html
,"Living In: Upper Saddle River, N.J.: Quiet and Neat as a Pin",,,https://www.nytimes.com/2018/06/20/realestate/upper-saddle-river-nj-quiet-and-neat-as-a-pin.html
,Congress Is Writing Lots of Opioid Bills. But Which Ones Will Actually Help?,,,https://www.nytimes.com/2018/06/20/upshot/congress-is-writing-lots-of-opioid-bills-but-which-ones-will-actually-help.html
,The New Health Care: Why the Medical Research Grant System Could Be Costing Us Great Ideas,,,https://www.nytimes.com/2018/06/18/upshot/why-the-medical-research-grant-system-could-be-costing-us-great-ideas.html
,Trade Skirmish or War? Who Gets Hurt?,,,https://www.nytimes.com/2018/06/15/upshot/trade-skirmish-or-war-who-gets-hurt.html
,"After Volcano Eruption in Guatemala, Re-creating a Truck Covered in Ash",,,https://www.nytimes.com/2018/06/20/insider/volcano-lava-guatemala-buried-truck-augmented-reality-3d-immersive.html
,Meet the Woman Who ‘Really Runs’ the New York Times Newsroom,,,https://www.nytimes.com/2018/06/19/insider/juanita-powell-brunson-profile.html
,"Writing About Earthquakes, and Feeling One",,,https://www.nytimes.com/2018/06/18/insider/earthquake-report-san-francisco.html
,Elon Musk Accuses Tesla Employee of Sabotage,,,https://www.nytimes.com/2018/06/19/business/elon-musk-tesla-employee-sabotage.html
,"Wheels: When Cars Do the Driving, Who Will Feel the Joy?",,,https://www.nytimes.com/2018/06/14/business/autonomous-cars-enthusiasts.html
,"Ford Aims to Revive a Detroit Train Station, and Itself",,,https://www.nytimes.com/2018/06/17/business/ford-detroit-station.html
,Why Have There Been No Great Black Art Dealers?,,,https://www.nytimes.com/2018/06/20/t-magazine/black-art-dealers.html
,Meet an Artist Who Matches His Suit to His Couch,,,https://www.nytimes.com/2018/06/20/t-magazine/meet-an-artist-who-matches-his-suit-to-his-couch.html
,T Agitprop: 13 Artists On: Immigration,,,https://www.nytimes.com/2018/06/19/t-magazine/immigration-art.html
By ROXANA POPESCU,House Hunting in … Hungary,"Budapest’s luxury housing has increased in quantity and quality in recent years, with new high-end properties that reflect a changing city.",,https://www.nytimes.com/2018/06/20/realestate/house-hunting-budapest.html
,Search for Homes for Sale or Rent,,,http://www.nytimes.com/real-estate/find-a-home
,Mortgage Calculator,,,https://www.nytimes.com/real-estate/mortgage-calculator
